State,Kilowatt Hours
Wyoming,24567
D.C,20073
Kentucky,19970
South Carolina,18865
Alabama,18399
Louisiana,17902
Idaho,17453
Tennessee,16993
Washington,16357
Indiana,16277
Mississippi,15885
Arkansas,15595
Texas,15059
North Carolina,15033
West Virginia,15022
Ohio,14593
Nevada,14511
Georgia,14465
North Dakota,14380
Oregon,14172
Delaware,13926
Oklahoma,13918
Montana,13743
Nebraska,13691
Virginia,13536
Iowa,13255
Kansas,12743
Missouri,12614
Florida,12393
Wisconsin,12103
Arizona,12067
Minnesota,12019
Maryland,11425
Illinois,10903
South Dakota,10806
Michigan,10491
New Mexico,10344
Utah,10273
Colorado,10002
Maine,9532
Vermont,9309
Connecticut,9081
New Jersey,8667
Alaska,8543
New Hampshire,8095
Pennsylvania,8006
Hawaii,7913
Massachusetts,7744
New York,7135
Rhode Island,6716
California,6396
