Head Coach,School,Conference,Head Coach School Pay,Other Pay,Total Pay,Max Bonus,Football Net Revenue
Troy Calhoun,Air Force,Mt. West,882000,N/A,882000,247000,3496974
Terry Bowden,Akron,MAC,375000,N/A,375000,90000,-4780737
Nick Saban,Alabama,SEC,5316667,160071,5476738,700000,46477215
Garrick McGee,Alabama at Birmingham,CUSA,550000,N/A,550000,465000,233838
Rich Rodriguez,Arizona,PAC-12,1500000,N/A,1500000,525000,7207358
Todd Graham,Arizona State,PAC-12,3000000,N/A,3000000,2050000,11712728
John L. Smith,Arkansas,SEC,850000,0,850000,225000,37072516
Gus Malzahn,Arkansas State,Sun Belt,856210,3400,859610,160000,-842442
Rich Ellerson,Army,Ind.,600000,0,600000,350000,5538418
Gene Chizik,Auburn,SEC,3500000,77500,3577500,1200000,37158129
Pete Lembo,Ball State,MAC,350000,2800,352800,265000,-3870432
Chris Petersen,Boise State,Mt. West,1956333,3500,1959833,290000,-501286
Dave Clawson,Bowling Green,MAC,363000,1200,364200,116000,-2514183
Jeff Quinn,Buffalo,MAC,325000,N/A,325000,330000,-1004353
Jeff Tedford,California,PAC-12,2600000,N/A,2600000,255000,6930135
George O'Leary,Central Florida,CUSA,1461646,0,1461646,600000,255675
Dan Enos,Central Michigan,MAC,325000,600,325600,133000,-2993669
Butch Jones,Cincinnati,Big East,1769648,0,1769648,330000,2227307
Dabo Swinney,Clemson,ACC,2040024,10000,2050024,775000,15194253
Jon Embree,Colorado,PAC-12,725000,N/A,725000,1400000,9646592
Jim McElwain,Colorado State,Mt. West,1350000,0,1350000,150000,-5277746
Paul Pasqualoni,Connecticut,Big East,1600000,N/A,1600000,115625,-372296
Ruffin McNeill,East Carolina,CUSA,950000,0,950000,350000,1781200
Ron English,Eastern Michigan,MAC,360517,0,360517,90000,1471139
Will Muschamp,Florida,SEC,2474500,N/A,2474500,450000,46543697
Carl Pelini,Florida Atlantic,Sun Belt,450000,N/A,450000,317500,1603761
Mario Cristobal,Florida International,Sun Belt,522183,0,522183,145000,533137
Jimbo Fisher,Florida State,ACC,2750000,0,2750000,675000,18302871
Tim DeRuyter,Fresno State,Mt. West,650000,N/A,650000,1610000,3019406
Mark Richt,Georgia,SEC,2811340,114000,2925340,1000000,52851837
Paul Johnson,Georgia Tech,ACC,2440700,5000,2445700,1025000,8233717
Norm Chow,Hawaii,Mt. West,550000,N/A,550000,695000,-1176056
Tony Levine,Houston,CUSA,900000,N/A,900000,370000,-148093
Robb Akey,Idaho,WAC,375797,6200,381997,158262,-406705
Tim Beckman,Illinois,Big Ten,1600000,N/A,1600000,80000,14207001
Kevin Wilson,Indiana,Big Ten,1260000,N/A,1260000,830000,8203947
Kirk Ferentz,Iowa,Big Ten,3835000,0,3835000,1750000,23996028
Paul Rhoads,Iowa State,Big 12,1600000,1550,1601550,950000,21862535
Charlie Weis,Kansas,Big 12,2500000,N/A,2500000,615000,3669260
Bill Snyder,Kansas State,Big 12,2200000,0,2200000,455000,10451863
Darrell Hazell,Kent State,MAC,300000,N/A,300000,76000,-348286
Joker Phillips,Kentucky,SEC,1700000,4250,1704250,1105000,19668166
Sonny Dykes,Louisiana Tech,WAC,750000,10200,760200,310000,84013
Mark Hudspeth,Louisiana-Lafayette,Sun Belt,800000,3000,803000,105000,0
Todd Berry,Louisiana-Monroe,Sun Belt,250000,N/A,250000,62500,-182817
Charlie Strong,Louisville,Big East,2300000,5000,2305000,691666,10076493
Les Miles,LSU,SEC,3751000,105417,3856417,700000,47017400
Doc Holliday,Marshall,CUSA,600000,12750,612750,80000,2220520
Randy Edsall,Maryland,ACC,1600000,4000,1604000,950000,-473482
Charley Molnar,Massachusetts,MAC,400625,N/A,400625,122500,-3740237
Justin Fuente,Memphis,CUSA,903285,0,903285,625000,-4940482
Don Treadwell,Miami Ohio,MAC,410000,0,410000,421826,-12902
Brady Hoke,Michigan,Big Ten,3046120,0,3046120,525000,46748443
Mark Dantonio,Michigan State,Big Ten,1934250,0,1934250,650000,26128925
Rick Stockstill,Middle Tennessee State,Sun Belt,601504,625,602129,149475,302193
Jerry Kill,Minnesota,Big Ten,1200000,N/A,1200000,875000,13539763
Hugh Freeze,Mississippi,SEC,1500000,5500,1505500,1475000,10356484
Dan Mullen,Mississippi State,SEC,2600000,0,2600000,650000,10809960
Gary Pinkel,Missouri,SEC,2700000,0,2700000,850000,9709465
Bo Pelini,Nebraska,Big Ten,2875000,N/A,2875000,1000000,34600854
Chris Ault,Nevada,Mt. West,493093,0,493093,30000,260845
Bobby Hauck,Nevada-Las Vegas,Mt. West,500000,900,500900,140000,1366291
Bob Davie,New Mexico,Mt. West,760000,0,760000,350000,-4053312
DeWayne Walker,New Mexico State,WAC,382260,0,382260,185000,-2463021
Larry Fedora,North Carolina,ACC,2448605,N/A,2448605,29167,9409117
Tom O'Brien,North Carolina State,ACC,936225,1000000,1936225,1110000,11321587
Dan McCarney,North Texas,Sun Belt,545000,300,545300,75000,-3549655
Dave Doeren,Northern Illinois,MAC,420000,3000,423000,205000,-3079315
Pat Fitzgerald,Northwestern,Big Ten,1280751,N/A,1280751,N/A,2589180
Frank Solich,Ohio,MAC,500000,11500,511500,297500,841212
Urban Meyer,Ohio State,Big Ten,4250000,50000,4300000,450000,40121979
Bob Stoops,Oklahoma,Big 12,4550000,0,4550000,819500,35709374
Mike Gundy,Oklahoma State,Big 12,3275000,N/A,3275000,550000,19426125
Chip Kelly,Oregon,PAC-12,3500000,N/A,3500000,900000,9353407
Mike Riley,Oregon State,PAC-12,1317847,N/A,1317847,360000,9408573
Bill O'Brien,Penn State,Big Ten,2300000,N/A,2300000,47500,43843414
Danny Hope,Purdue,Big Ten,970000,N/A,970000,778904,5938670
Kyle Flood,Rutgers,Big East,750000,10000,760000,350000,0
Rocky Long,San Diego State,Mt. West,800000,2600,802600,805000,1941400
Mike MacIntyre,San Jose State,WAC,401820,10000,411820,300835,-2891811
Joey Jones,South Alabama,Sun Belt,345125,26000,371125,50625,760183
Steve Spurrier,South Carolina,SEC,3550000,35000,3585000,1550000,23866530
Skip Holtz,South Florida,Big East,2000000,0,2000000,650000,4360300
Ellis Johnson,Southern Mississippi,CUSA,790000,0,790000,465000,-1674293
Derek Dooley,Tennessee,SEC,2000000,11000,2011000,475000,39431691
Mack Brown,Texas,Big 12,5292500,61250,5353750,850000,70885526
Kevin Sumlin,Texas A&M,SEC,2436000,300,2436300,625000,29853802
Dennis Franchione,Texas State,WAC,360500,2300,362800,57500,-2874069
Tommy Tuberville,Texas Tech,Big 12,2150000,5000,2155000,1025000,10464208
Mike Price,Texas-El Paso,CUSA,359206,9000,368206,320853,2642375
Larry Coker,Texas-San Antonio,WAC,350000,1150,351150,30000,-2693969
Matt Campbell,Toledo,MAC,360000,450,360450,305000,-4744485
Larry Blakeney,Troy,Sun Belt,455000,0,455000,75000,1196272
Jim Mora,UCLA,PAC-12,1935000,0,1935000,750000,5104253
Kyle Whittingham,Utah,PAC-12,2000000,N/A,2000000,740000,8526706
Gary Andersen,Utah State,WAC,415000,0,415000,150000,-1252454
Mike London,Virginia,ACC,2552760,3700,2556460,715000,36284
Frank Beamer,Virginia Tech,ACC,2343000,85000,2428000,407500,15074143
Steve Sarkisian,Washington,PAC-12,2425000,0,2425000,1525000,18098857
Mike Leach,Washington State,PAC-12,2250000,0,2250000,640000,3548145
Dana Holgorsen,West Virginia,Big 12,2380000,0,2380000,600000,7825134
Willie Taggart,Western Kentucky,Sun Belt,475000,4800,479800,168750,0
Bill Cubit,Western Michigan,MAC,377250,2000,379250,251500,-2945344
